platform,mode,season,period,nominal_time,obs_time_mean,urban_mean,rural_mean,uhi,urban_count,rural_count,n_composites
Terra,Day,Post-monsoon,2015 only (matched to Landsat),10:30,10.676029632765367,33.78324874892283,32.54184392300532,1.2414048259175132,241,1055,11
Terra,Day,Post-monsoon,2019-2023 mean,10:30,,32.62492174466589,30.95503445278698,1.6698872918789114,241,1055,55
Terra,Night,Post-monsoon,2015 only (matched to Landsat),22:30,22.316579028684544,24.475511377655383,22.388089997463968,2.087421380191415,238,884,11
Terra,Night,Post-monsoon,2019-2023 mean,22:30,,24.51221062935864,22.131108115800764,2.3811025135578774,241,1042,55
Aqua,Day,Post-monsoon,2015 only (matched to Landsat),13:30,13.393545499901784,36.375664665951064,34.66935850401678,1.706306161934286,241,1055,11
Aqua,Day,Post-monsoon,2019-2023 mean,13:30,,34.943162257053366,33.27426513394844,1.6688971231049265,241,1055,55
Aqua,Night,Post-monsoon,2015 only (matched to Landsat),01:30,1.8086058203869901,23.92802598725702,21.57284141247165,2.355184574785369,240,903,11
Aqua,Night,Post-monsoon,2019-2023 mean,01:30,,23.610060220631294,21.14230634398145,2.4677538766498444,241,1055,55
