season,zone,LST_C
Winter,Urban,28.216500000000032
Winter,Urban,27.929000000000023
Winter,Urban,29.080000000000023
Winter,Urban,29.474000000000036
Winter,Urban,30.03400000000005
Winter,Urban,30.487000000000034
Winter,Urban,30.476153846153874
Winter,Urban,31.04400000000003
Winter,Urban,29.795500000000025
Winter,Urban,31.046500000000027
Winter,Urban,31.73000000000004
Winter,Urban,31.734500000000025
Winter,Urban,29.97200000000003
Winter,Urban,31.114000000000033
Winter,Urban,31.586500000000022
Winter,Urban,31.565500000000007
Winter,Urban,29.06600000000002
Winter,Urban,30.03450000000003
Winter,Urban,31.099500000000024
Winter,Urban,31.911500000000025
Winter,Urban,31.435500000000026
Winter,Urban,31.904000000000035
Winter,Urban,32.012000000000036
Winter,Urban,29.98350000000003
Winter,Urban,30.80400000000004
Winter,Urban,31.585500000000035
Winter,Urban,31.746500000000026
Winter,Urban,31.656500000000023
Winter,Urban,29.693500000000036
Winter,Urban,30.763000000000034
Winter,Urban,31.487500000000022
Winter,Urban,31.46850000000004
Winter,Urban,31.382000000000033
Winter,Urban,32.413500000000035
Winter,Urban,28.653500000000026
Winter,Urban,29.249500000000033
Winter,Urban,30.251500000000032
Winter,Urban,31.117500000000042
Winter,Urban,31.458500000000026
Winter,Urban,31.479500000000023
Winter,Urban,32.66250000000004
Winter,Urban,33.021000000000015
Winter,Urban,29.483500000000028
Winter,Urban,30.71350000000003
Winter,Urban,31.45500000000002
Winter,Urban,32.73500000000003
Winter,Urban,33.65300000000004
Winter,Urban,32.962500000000034
Winter,Urban,29.624000000000013
Winter,Urban,30.988500000000034
Winter,Urban,32.00250000000002
Winter,Urban,32.71650000000004
Winter,Urban,33.03400000000004
Winter,Urban,32.946500000000036
Winter,Urban,30.638500000000022
Winter,Urban,32.13850000000002
Winter,Urban,32.98750000000005
Winter,Urban,33.394500000000036
Winter,Urban,32.108000000000025
Winter,Urban,31.31850000000003
Winter,Urban,28.105897435897468
Winter,Urban,30.11650000000003
Winter,Urban,32.79400000000002
