platform,mode,season,years,nominal_time,obs_time_mean,urban_mean,urban_sd,urban_count,rural_mean,rural_sd,rural_count,uhi,n_composites,obs_urban,obs_rural
Terra,Day,Winter,2019-2023,10:30,10.63198144085252,32.09803364057366,1.6066482178957069,241,32.504126093784066,1.7814043620935573,1055,-0.4060924532104053,40,39.98571428571429,39.99897768547992
Terra,Day,Pre-monsoon,2019-2023,10:30,10.61139021480618,36.37925596967625,1.5998623542505026,241,39.10049255246614,2.598113265805345,1055,-2.721236582789892,55,54.92922002328289,54.558091519199465
Terra,Day,Monsoon,2019-2023,10:30,10.667412509950156,31.162248789030528,1.2409955504610375,241,31.08850262114777,1.7852924636364031,1055,0.07374616788275645,80,31.645019125228675,26.457752351323393
Terra,Day,Post-monsoon,2019-2023,10:30,10.525408869792631,32.62492174466589,1.3502341430780316,241,30.95503445278698,1.4288428634508799,1055,1.6698872918789114,55,52.32494595044072,52.5782651923956
Terra,Night,Winter,2019-2023,22:30,22.232838431708707,22.232178716034547,0.63362575424711,239,19.433103479214314,1.0195354120264344,917,2.799075236820233,40,33.611788685802125,5.465503117146389
Terra,Night,Pre-monsoon,2019-2023,22:30,22.228838133899572,26.196274755178813,0.6338531690344521,241,24.29520744753634,1.4385833478080063,977,1.901067307642471,55,44.38613005155498,5.382198251459637
Terra,Night,Monsoon,2019-2023,22:30,22.13031281319545,22.784683295328165,0.9897864932320167,241,21.054738214194707,1.169629118188212,1055,1.729945081133458,80,25.568351904207553,12.231267589823366
Terra,Night,Post-monsoon,2019-2023,22:30,22.14380272687477,24.51221062935864,0.5563527448516697,241,22.131108115800764,0.8794462965486941,1042,2.3811025135578774,55,42.155296856810246,6.212836067105756
Aqua,Day,Winter,2019-2023,13:30,13.452620685586641,35.683351957021095,1.4887182618686787,241,36.55241226922374,2.4337546973500683,1055,-0.8690603122026417,40,39.99101945784135,39.9809248137784
Aqua,Day,Pre-monsoon,2019-2023,13:30,13.469870399937733,39.59698333177027,1.5204566243534872,241,42.238228785028255,3.018217347913403,1055,-2.641245453257987,54,53.95556294694827,53.965802577034424
Aqua,Day,Monsoon,2019-2023,13:30,13.522932288330432,32.99416083122307,1.5951965616529387,241,32.07391195120433,2.1203720475438725,1055,0.9202488800187396,80,34.03746881756196,28.46962322698591
Aqua,Day,Post-monsoon,2019-2023,13:30,13.525149580877295,34.943162257053366,1.2795853428703075,241,33.27426513394844,1.8514381623006508,1055,1.6688971231049265,55,53.355878928987195,53.303330740797186
Aqua,Night,Winter,2019-2023,01:30,1.8289841044788997,21.277396824516046,0.6530478595583196,241,19.0256975315761,0.8363152581719873,1016,2.2516992929399464,40,35.790287709961746,7.17137921970636
Aqua,Night,Pre-monsoon,2019-2023,01:30,1.8668514163496552,25.637995758065493,0.44989777285257043,241,23.111314258106955,1.0834496798008133,1012,2.5266814999585385,54,45.215433228005985,6.704526538993988
Aqua,Night,Monsoon,2019-2023,01:30,1.9160228058670168,22.30005488043586,0.5711073970624825,241,20.919110757116396,0.7620481114044808,1055,1.3809441233194626,80,28.277731581573263,19.882750547238945
Aqua,Night,Post-monsoon,2019-2023,01:30,1.8791231470817356,23.610060220631294,0.48924752168682845,241,21.14230634398145,0.8619455187370803,1055,2.4677538766498444,55,44.72602694162647,10.473471940473237
