platform,mode,season,ring,urban_mean,rural_mean,uhi,urban_count,rural_count
Terra,Day,Winter,2-20 km,32.09803364057366,32.38768841269523,-0.28965477212157253,241,1115
Terra,Day,Pre-monsoon,2-20 km,36.37925596967625,38.93138022274165,-2.5521242530654007,241,1115
Terra,Day,Monsoon,2-20 km,31.162248789030528,31.005941164616043,0.15630762441448454,241,1115
Terra,Day,Post-monsoon,2-20 km,32.62492174466589,30.898781463139635,1.7261402815262556,241,1115
Terra,Day,Winter,5-20 km,32.09803364057366,32.504126093784066,-0.4060924532104053,241,1055
Terra,Day,Pre-monsoon,5-20 km,36.37925596967625,39.10049255246614,-2.721236582789892,241,1055
Terra,Day,Monsoon,5-20 km,31.162248789030528,31.08850262114777,0.07374616788275645,241,1055
Terra,Day,Post-monsoon,5-20 km,32.62492174466589,30.95503445278698,1.6698872918789114,241,1055
Terra,Day,Winter,10-25 km,32.09803364057366,32.67836062293574,-0.5803269823620809,241,893
Terra,Day,Pre-monsoon,10-25 km,36.37925596967625,39.4286537392465,-3.0493977695702483,241,893
Terra,Day,Monsoon,10-25 km,31.162248789030528,31.214827766039264,-0.052578977008735706,241,893
Terra,Day,Post-monsoon,10-25 km,32.62492174466589,30.97991667060162,1.6450050740642688,241,893
Terra,Day,Winter,5-30 km,32.09803364057366,32.49387254358889,-0.39583890301523184,241,1055
Terra,Day,Pre-monsoon,5-30 km,36.37925596967625,39.11747726601152,-2.7382212963352686,241,1055
Terra,Day,Monsoon,5-30 km,31.162248789030528,31.07619296275227,0.08605582627825825,241,1055
Terra,Day,Post-monsoon,5-30 km,32.62492174466589,30.9231324678914,1.701789276774491,241,1055
