platform,mode,season,year,urban_mean,rural_mean,uhi,urban_count,rural_count,n_composites
Terra,Day,Winter,2019,31.774580783302866,33.02283955876106,-1.248258775458197,241,1055,8
Terra,Day,Pre-monsoon,2019,37.37921575979322,40.65280657226142,-3.2735908124682,241,1055,11
Terra,Day,Monsoon,2019,31.764822888371544,31.707813223212423,0.057009665159121425,241,1055,16
Terra,Day,Post-monsoon,2019,32.90525760448324,31.126847040285153,1.7784105641980865,241,1055,11
Terra,Day,Winter,2020,32.19850680668081,32.47168603718823,-0.27317923050741655,241,1055,8
Terra,Day,Pre-monsoon,2020,37.062341061034424,39.98273749222793,-2.9203964311935096,241,1055,11
Terra,Day,Monsoon,2020,31.662903690020876,30.21411069470806,1.4487929953128145,241,1055,16
Terra,Day,Post-monsoon,2020,32.913070995947024,31.325417183290856,1.5876538126561677,241,1055,11
Terra,Day,Winter,2021,32.824704497398535,33.20228636633342,-0.37758186893488244,241,1055,8
Terra,Day,Pre-monsoon,2021,35.9348199234991,38.67620217554365,-2.741382252044552,241,1055,11
Terra,Day,Monsoon,2021,29.851012430618727,30.244344808097274,-0.3933323774785471,241,1055,16
Terra,Day,Post-monsoon,2021,32.414294168695136,30.404419426186987,2.009874742508149,241,1055,11
Terra,Day,Winter,2022,31.30400935473144,31.137466985254655,0.1665423694767867,241,1055,8
Terra,Day,Pre-monsoon,2022,35.775818831924816,37.99150192982377,-2.2156830978989532,241,1055,11
Terra,Day,Monsoon,2022,31.56525129520962,31.875521867638216,-0.3102705724285961,241,1040,16
Terra,Day,Post-monsoon,2022,32.53138384518731,30.992126797291313,1.539257047895994,241,1055,11
Terra,Day,Winter,2023,32.389162695113,32.68644326755776,-0.29728057244476247,241,1055,8
Terra,Day,Pre-monsoon,2023,35.743613866924726,38.189241373378465,-2.4456275064537394,241,1055,11
Terra,Day,Monsoon,2023,31.21970426377773,31.975850377925187,-0.7561461141474588,241,1055,16
Terra,Day,Post-monsoon,2023,32.38103574679107,30.966392115385617,1.414643631405454,241,1055,11
