mode,variable,ring,urban_mean,rural_mean,uhi,urban_count,rural_count
Day,LST,2-20 km,35.45031640833903,33.050319858024906,2.399996550314121,17924,101309
Night,LST,2-20 km,23.47935558415611,21.432748539600105,2.046607044556005,20506,104791
Day,LST,5-20 km,35.45031640833903,33.06495375468074,2.385362653658291,17924,94200
Night,LST,5-20 km,23.47935558415611,21.35240697317418,2.1269486109819304,20506,97588
Day,LST,10-25 km,35.45031640833903,33.00714522149133,2.4431711868476995,17924,75587
Night,LST,10-25 km,23.47935558415611,21.256024350877986,2.223331233278124,20506,78481
Day,LST,5-30 km,35.45031640833903,33.05818121555592,2.3921351927831083,17924,94200
Night,LST,5-30 km,23.47935558415611,21.350458407842698,2.128897176313412,20506,97588
