mode,zone,T
Day,Urban,35.003265260000035
Day,Urban,34.20686660000001
Day,Urban,33.492500420000056
Day,Urban,33.61896716000001
Day,Urban,33.48566438
Day,Urban,33.072083959999986
Day,Urban,34.99301120000001
Day,Urban,35.96031086000005
Day,Urban,36.056015419999994
Day,Urban,35.27670685999999
Day,Urban,34.58626681999999
Day,Urban,34.7195696
Day,Urban,31.581827240000052
Day,Urban,36.07994156000001
Day,Urban,35.235690620000014
Day,Urban,36.903684380000016
Day,Urban,36.73278338
Day,Urban,35.82700808000004
Day,Urban,33.345525560000056
Day,Urban,33.06182990000002
Day,Urban,32.91485504000002
Day,Urban,33.52326260000001
Day,Urban,33.413885960000016
Day,Urban,34.66829930000006
Day,Urban,34.25813690000001
Day,Urban,33.89582677999999
Day,Urban,34.23079274000003
Day,Urban,36.069687499999986
Day,Urban,37.330936880000024
Day,Urban,33.54377072
Day,Urban,36.68834912
Day,Urban,36.95837270000004
Day,Urban,33.40704992000002
Day,Urban,35.14340407999998
Day,Urban,33.249821
Day,Urban,33.55060676000005
Day,Urban,33.205386739999994
Day,Urban,33.55744279999999
Day,Urban,37.33777292000002
Day,Urban,37.23865034000005
Day,Urban,37.084839439999996
Day,Urban,36.21666235999999
Day,Urban,35.86802432000002
Day,Urban,36.23717048000003
Day,Urban,35.53647638000001
Day,Urban,34.035965600000054
Day,Urban,33.84455648000005
Day,Urban,33.8821547
Day,Urban,33.79670420000002
Day,Urban,34.347005420000016
Day,Urban,33.89582677999999
Day,Urban,33.85139251999999
Day,Urban,38.02137692000002
Day,Urban,36.87634022000003
Day,Urban,34.24104680000005
Day,Urban,35.922712639999986
Day,Urban,35.02719139999999
Day,Urban,36.94128260000002
Day,Urban,35.80991798000002
Day,Urban,35.87827837999998
Day,Urban,33.82063033999998
Day,Urban,35.33823122000001
Day,Urban,33.45832022000002
Day,Urban,33.430976060000035
Day,Urban,33.79670420000002
Day,Urban,34.36067750000001
Day,Urban,35.83042610000001
Day,Urban,35.43051776000004
Day,Urban,35.73130351999998
Day,Urban,35.22201854000002
Day,Urban,35.970564920000015
Day,Urban,36.462759800000015
Day,Urban,35.16049418
Day,Urban,33.26007506000002
Day,Urban,37.016479040000036
Day,Urban,35.64243499999998
Day,Urban,37.11218359999998
Day,Urban,35.46811597999999
Day,Urban,33.37628774000001
Day,Urban,32.17656271999999
Day,Urban,34.05989174000001
Day,Urban,33.57111487999998
Day,Urban,34.27522700000003
Day,Urban,32.86358474000002
Day,Urban,34.17268640000003
Day,Urban,34.25813690000001
Day,Urban,34.449546020000014
Day,Urban,34.09407194000005
Day,Urban,36.32945702000001
Day,Urban,35.762065699999994
Day,Urban,35.32455914000002
Day,Urban,35.71763143999999
Day,Urban,33.57453290000001
Day,Urban,33.61896716000001
Day,Urban,37.970106620000024
Day,Urban,35.150240120000035
Day,Urban,35.13656804000004
Day,Urban,35.92613066000001
Day,Urban,34.722987620000026
Day,Urban,37.17370796
Day,Urban,35.84068016000003
Day,Urban,37.313846780000006
Day,Urban,35.89536848
Day,Urban,33.37286972000004
Day,Urban,33.58820498
Day,Urban,34.40169374000004
Day,Urban,33.9846953
Day,Urban,33.95051510000002
Day,Urban,33.413885960000016
Day,Urban,34.039383620000024
Day,Urban,34.053055700000016
Day,Urban,37.17712598000003
Day,Urban,35.95347482
Day,Urban,36.45250573999999
Day,Urban,37.93592641999999
Day,Urban,36.674677040000006
Day,Urban,36.13804790000006
Day,Urban,37.17712598000003
Day,Urban,36.10044968
Day,Urban,35.02719139999999
Day,Urban,35.91929462000002
Day,Urban,35.34164924000004
Day,Urban,33.69758162000005
Day,Urban,35.34164924000004
Day,Urban,36.38414534000003
Day,Urban,36.250842560000024
Day,Urban,36.490103960000056
Day,Urban,35.36899340000002
Day,Urban,35.08187972000002
Day,Urban,35.43735379999998
Day,Urban,35.40659162000003
Day,Urban,35.67319717999999
Day,Urban,34.03254758000003
Day,Urban,34.7195696
Day,Urban,32.28935738000001
Day,Urban,34.251300860000015
Day,Urban,39.09805322
Day,Urban,38.472555560000046
Day,Urban,36.22008038000001
Day,Urban,34.98959318000004
Day,Urban,33.53351666000003
Day,Urban,32.740536020000036
Day,Urban,33.82063033999998
Day,Urban,35.71421342000002
Day,Urban,36.84216002000005
Day,Urban,35.84068016000003
Day,Urban,37.80262363999998
Day,Urban,34.56575870000006
Day,Urban,34.35725948000004
Day,Urban,36.32262098000001
Day,Urban,37.45398560000001
Day,Urban,34.92806882000002
Day,Urban,34.302571160000014
Day,Urban,35.314305080000054
Day,Urban,34.58968484000002
Day,Urban,34.839200300000016
Day,Urban,38.04188504000001
Day,Urban,35.72788550000001
Day,Urban,33.94709708000005
Day,Urban,34.316243240000006
Day,Urban,35.102387840000006
Day,Urban,34.95883100000003
Day,Urban,34.617029
Day,Urban,34.336751359999994
Day,Urban,33.55744279999999
Day,Urban,33.68049152000003
Day,Urban,35.34164924000004
Day,Urban,36.71569327999998
Day,Urban,36.42516158000001
Day,Urban,37.87440206000002
Day,Urban,34.921232780000025
Day,Urban,34.51790642000003
Day,Urban,35.68003322000004
Day,Urban,36.40465346000002
Day,Urban,35.902204520000055
Day,Urban,33.80354024000002
Day,Urban,34.182940460000054
Day,Urban,35.17758428000002
Day,Urban,34.12825214000003
Day,Urban,37.39246123999999
Day,Urban,38.985258560000034
Day,Urban,39.08779916000003
Day,Urban,36.12095780000004
Day,Urban,34.91097872
Day,Urban,33.9846953
Day,Urban,35.12973199999999
Day,Urban,34.66829930000006
Day,Urban,34.55208662000001
Day,Urban,34.17610442
Day,Urban,36.14488394
Day,Urban,33.321599419999984
Day,Urban,37.460821640000006
Day,Urban,36.38414534000003
Day,Urban,36.24058850000006
Day,Urban,37.54627214000004
Day,Urban,35.187838339999985
Day,Urban,36.22691642000001
Day,Urban,38.26747436000005
Day,Urban,35.529640340000014
Day,Urban,32.614069280000024
Day,Urban,32.186816780000015
Day,Urban,33.615549139999985
Day,Urban,34.09065392000002
Day,Urban,34.70247949999998
Day,Urban,39.66202652000004
Day,Urban,39.750895040000046
Day,Urban,36.42516158000001
Day,Urban,34.54866860000004
Day,Urban,34.64779118000001
Day,Urban,33.83430242000003
Day,Urban,35.334813199999985
Day,Urban,34.08039986000006
Day,Urban,34.61361098000003
Day,Urban,37.25915845999998
Day,Urban,35.24594467999998
Day,Urban,36.23033443999998
Day,Urban,34.50423434000004
Day,Urban,35.645853020000004
Day,Urban,33.28058318000001
Day,Urban,36.32945702000001
Day,Urban,36.10386770000002
Day,Urban,37.477911740000025
Day,Urban,37.71033710000006
Day,Urban,38.67080071999999
Day,Urban,34.94857694000001
Day,Urban,34.01545748000001
Day,Urban,32.89776494
Day,Urban,32.532036800000014
Day,Urban,31.95097340000001
Day,Urban,35.758647680000024
Day,Urban,35.01010130000003
Day,Urban,35.91245858000002
Day,Urban,33.58136894000006
Day,Urban,33.70441765999999
Day,Urban,34.52474246000003
Day,Urban,35.334813199999985
Day,Urban,33.91633490000004
Day,Urban,34.955412980000006
Day,Urban,35.4544439
Day,Urban,35.12631398000002
Day,Urban,35.68003322000004
Day,Urban,35.73472154000001
Day,Urban,34.497398299999986
Day,Urban,36.58580852
Day,Urban,35.84068016000003
Day,Urban,36.674677040000006
Day,Urban,39.033110840000006
Day,Urban,40.308032300000036
Day,Urban,36.76696358000004
Day,Urban,36.55504633999999
Day,Urban,33.639475280000056
Day,Urban,32.87042078000002
Day,Urban,34.99984724000001
Day,Urban,36.349965139999995
Day,Urban,34.333333340000024
Day,Urban,34.24788283999999
Day,Urban,35.772319760000016
Day,Urban,35.50229618000003
Day,Urban,36.35680118000005
Day,Urban,34.54866860000004
Day,Urban,34.907560699999976
Day,Urban,35.249362700000006
Day,Urban,35.481788059999985
Day,Urban,35.81675402000002
Day,Urban,33.875318660000005
Day,Urban,38.65029260000006
Day,Urban,37.17028994000003
Day,Urban,36.78063566000003
Day,Urban,40.72161272000005
Day,Urban,41.55902762000005
Day,Urban,41.145447200000035
Day,Urban,35.17416625999999
Day,Urban,33.22931288000001
Day,Urban,34.09065392000002
Day,Urban,34.661463260000005
Day,Urban,34.921232780000025
Day,Urban,34.70589752000001
Day,Urban,35.89878650000003
Day,Urban,37.34119094000005
Day,Urban,34.78793000000002
Day,Urban,35.625344900000016
Day,Urban,37.58045234000002
Day,Urban,39.20742986000005
Day,Urban,40.28410616000002
Day,Urban,35.72104946000002
Day,Urban,34.986175160000016
Day,Urban,35.762065699999994
Day,Urban,35.46811597999999
Day,Urban,36.43541564000003
Day,Urban,39.82950950000003
Day,Urban,40.26701606000006
Day,Urban,41.572699700000044
Day,Urban,35.987655020000034
Day,Urban,35.09213378000004
Day,Urban,35.46811597999999
Day,Urban,35.628762919999986
Day,Urban,34.86996248000003
Day,Urban,36.739619420000054
Day,Urban,38.10340940000003
Day,Urban,39.30313441999999
Day,Urban,39.30655244000002
Day,Urban,41.80170704
Day,Urban,40.39690082000004
Day,Urban,39.96964832000003
Day,Urban,39.96281227999998
Day,Urban,36.35680118000005
Day,Urban,42.83736710000005
Day,Urban,42.461384899999985
Day,Urban,34.921232780000025
Day,Urban,34.00862144000001
Day,Urban,34.50765236000001
Day,Urban,35.37924745999999
Day,Urban,35.26303478
Day,Urban,39.72696890000003
Day,Urban,39.10147124000002
Day,Urban,41.036070559999985
Day,Urban,38.20595000000003
Day,Urban,38.04530306000004
Day,Urban,34.14534223999999
Day,Urban,35.85777026000005
Day,Urban,36.23717048000003
Day,Urban,34.98959318000004
Day,Urban,34.79818406000004
Day,Urban,36.02867126000001
Day,Urban,36.43883366
Day,Urban,38.97158648000004
Day,Urban,39.904705939999985
Day,Urban,39.42960116000006
Day,Urban,41.43597890000001
Day,Urban,40.034590700000024
Day,Urban,41.244569780000006
Day,Urban,39.53555978000003
Day,Urban,35.66636114000005
Day,Urban,40.08586100000002
Day,Urban,41.736764660000006
Day,Urban,42.96041581999998
Day,Urban,34.7195696
Day,Urban,35.01010130000003
Day,Urban,38.95449638000002
Day,Urban,33.08575603999998
Day,Urban,33.12677228000001
Day,Urban,32.04667796000001
Day,Urban,32.07744014000002
Day,Urban,39.79532930000005
