mode,variable,date,urban_mean,urban_sd,urban_median,urban_min,urban_max,urban_count,rural_mean,rural_sd,rural_median,rural_min,rural_max,rural_count,uhi
Day,LST (L2 product),2015-10-08,35.45031640833903,2.494933634877026,35.19192704053535,27.893783660000054,45.81104449999998,17924,33.06495375468074,2.657129743887792,33.062782369177,23.54264420000004,48.70268942000001,94200,2.385362653658291
Night,Brightness temperature,2015-10-09,21.46369487152894,0.9923108593740907,21.827838712717192,17.34259112728421,23.10880670775174,20506,20.318087918739472,1.2534744341840556,20.421228922779306,17.609629103876046,23.490418902155398,97588,1.1456069527894677
Night,LST (class emissivity),2015-10-09,23.47935558415611,1.0059015932968198,23.827655982484213,19.302045378882156,25.1470954156606,20506,21.35240697317418,1.277644399441995,21.4220845525308,18.580388476531766,25.817394469185672,97588,2.1269486109819304
