mode,uhi_external_ring,uhi_internal,rural_mean_external,rural_mean_internal,difference
Day,2.385362653658291,3.8114693051067086,33.06495375468074,31.63884710323232,-1.4261066514484178
Night,2.1269486109819304,1.3313946023987526,21.35240697317418,22.147960981757358,0.7955540085831778
Night BT,1.1456069527894677,0.3392716601547221,20.318087918739472,21.124423211374218,0.8063352926347456
