mode,uhi_water_excluded,uhi_water_included,rural_mean_excluded,rural_mean_included,difference
Day,2.385362653658291,5.635197327122977,33.06495375468074,29.81511908121605,3.2498346734646866
Night,2.1269486109819304,1.2000352002227075,21.35240697317418,22.279320383933403,-0.926913410759223
