class_id,class_name,day_LST_mean
10,Tree cover,32.038077509267254
30,Grassland,33.83318005206644
40,Cropland,33.72192338375799
50,Built-up,36.92182117392578
60,Bare/sparse,34.57190085340926
80,Water,27.547197746933858
90,Wetland,29.717297330000015
95,Mangroves,31.202305028420778
